 Year Date HRMM  Sec Latitud Longitud Depth Error Error Error NST  RMS GAP
 2021  4 4 1300 49.7  28.930   50.927  10.9   0.8   0.8   0.9  10  0.1 154
 2021  4 4 1301 17.8  28.926   50.920  11.4   0.6   0.6   0.7  14  0.0 133
 2021  4 4 1305 21.3  28.922   50.926  10.5   0.5   0.5   0.7  15  0.1 117
 2021  4 4 1306 50.9  28.926   50.926  11.0   0.4   0.5   0.6  17  0.1 121
 2021  4 4 1308 45.9  28.934   50.936  11.3   0.7   0.7   0.8  10  0.1 114
 2021  4 4 1309  7.5  28.923   50.921  10.9   0.5   0.5   0.7  14  0.1 119
 2021  4 4 1312 55.4  28.922   50.918  11.6   0.5   0.5   0.9  13  0.1 117
 2021  4 4 1320 41.9  28.929   50.917  13.0   1.3   1.4   1.5   7  0.1 165
 2021  4 4 1323 42.1  28.926   50.924  11.8   0.4   0.5   0.7  21  0.1 120
 2021  4 4 1342 21.8  28.925   50.923  10.3   0.4   0.4   0.7  16  0.1 129
 2021  4 4 1351 32.9  28.918   50.927  12.0   0.4   0.5   0.6  23  0.1  98
 2021  4 4 1357 42.9  28.921   50.915  11.5   0.6   0.6   1.0  13  0.1 116
 2021  4 4 1450 34.2  28.927   50.922  11.4   1.1   1.1   1.3   8  0.1 134
 2021  4 4 1450 47.3  28.925   50.920  11.1   0.6   0.6   0.8  12  0.1 131
 2021  4 4 2104  9.0  28.908   51.340   3.2   0.6   0.9   0.6   7  0.1 237
 2021  4 4 2127 33.3  28.931   50.916  13.7   1.2   1.1   1.2   8  0.1 169
 2021  4 4 0140 10.2  29.003   51.341   6.7   1.1   2.0   1.7   9  0.1 260
 2021  4 4 2252 26.8  29.094   51.333   8.5   0.5   0.6   0.6  21  0.1 259
 2021  4 4 0757 58.1  29.070   51.224  14.8   0.8   1.0   0.8  14  0.1 206
 2021  4 4 1210 32.1  29.072   51.235  16.0   0.9   0.8   0.8  12  0.1 276
 2021  4 4 1222  5.9  29.069   51.229  15.8   0.8   1.1   0.8  13  0.1 210
 2021  4 4 1514 23.5  29.068   51.237  16.0   0.7   0.9   0.8  11  0.0 219
 2021  4 4 2038 58.0  28.885   50.893   9.8   0.5   1.1   0.8  13  0.1 142
 2021  4 4 2219  3.5  29.074   51.231  16.0   0.8   1.0   1.0   9  0.1 215
 2021  4 4 1502 44.6  29.095   50.763  10.4   0.6   1.3   0.7  13  0.1 264
 2021  4 4 1504 26.8  29.100   50.754   9.5   0.9   1.5   1.4   9  0.1 304
 2021  4 4 1625 46.1  29.108   50.776  10.7   0.6   1.3   0.6  17  0.1 263
 2021  4 4 2055  2.1  28.803   51.000   8.8   0.8   0.3   1.4  14  0.1 178
 2021  4 4 2012  1.6  28.829   51.130  10.6   0.4   0.4   0.8  11  0.1  78
 2021  4 4 1630 59.9  28.987   50.795   9.1   0.5   1.0   0.8  13  0.1 239
 2021  4 4 0351 19.6  28.870   51.000  11.1   0.5   0.5   1.3  10  0.1 119
 2021  4 4 0933  1.2  29.084   51.241  16.6   1.1   1.5   1.1   6  0.0 249
 2021  4 4 1328  1.9  28.858   50.960  10.6   0.6   0.5   1.0  11  0.1 111
 2021  4 4 1540 50.9  29.059   51.336   6.4   0.7   1.2   0.9   8  0.1 255
 2021  4 4 2338 30.0  28.830   51.308   9.0   0.4   0.9   0.9  10  0.1 222
 2021  4 4 0448 14.5  28.749   51.048  10.1   0.6   0.6   1.1   6  0.0 137
 2021  4 4 1607 46.4  28.811   50.779   6.7   1.2   0.8   0.7  11  0.1 297
 2021  4 4 0525 58.0  29.010   51.323   8.7   0.6   1.1   1.2  12  0.1 245
 2021  4 4 0651 15.6  28.861   50.837   8.7   0.6   1.1   0.8  13  0.1 208
 2021  4 4 0651 23.3  28.863   50.836   8.6   0.5   0.9   0.7  17  0.1 214
 2021  4 4 1536 31.6  29.029   51.433   5.5   0.9   2.1   1.7  29  0.1 260
 2021  4 4 1811 50.8  29.023   51.425   6.5   0.9   2.7   3.4  19  0.1 273
 2021  4 4 0121 50.6  29.001   51.388   3.6   0.6   1.0   0.5   6  0.0 278
 2021  4 4 0340 30.4  28.930   50.779   9.1   0.9   1.8   1.5   9  0.1 276
 2021  4 4 2239 30.2  28.804   51.295   9.8   0.6   1.1   1.3   7  0.1 181
 2021  4 4 0629 16.4  28.868   51.082  11.9   0.5   0.6   1.3  14  0.1  99
 2021  4 4 1046 28.3  28.932   51.176  12.2   0.9   1.6   1.1   9  0.1 205
 2021  5 5 1039 23.7  28.796   51.315   8.7   0.4   1.0   1.7  10  0.1 233
 2021  5 5 1331 43.3  29.107   50.997  14.2   0.7   0.6   1.4  14  0.1 132
 2021  5 5 2043 27.6  28.840   50.855   6.2   0.4   0.7   0.6  14  0.1 224
 2021  5 5 2231  2.7  28.582   51.062  10.6   1.0   1.1   1.3   8  0.1 228
 2021  5 5 0123 32.7  28.890   51.375   9.8   0.7   1.5   1.4   8  0.1 253
 2021  5 5 1806 49.6  28.885   50.820   6.9   0.4   0.8   0.3  19  0.1 223
 2021  5 5 1244 29.3  29.017   51.339   8.9   0.6   0.7   0.7  22  0.1 254
 2021  5 5 0156 50.7  28.682   51.210   6.1   1.4   1.0   0.9   5  0.1 224
 2021  5 5 0009 32.5  28.917   50.836   6.2   0.4   0.6   0.8  10  0.1  94
 2021  5 5 0747 34.1  29.107   51.344   8.6   0.8   1.0   1.2  12  0.1 258
 2021  5 5 0356 44.8  28.825   51.007  11.5   1.3   0.7   2.0   4  0.0 148
 2021  5 5 0534 25.7  28.835   51.009  11.4   0.8   0.5   1.3   6  0.0 155
 2021  5 5 0310 17.9  28.828   51.007  10.9   0.5   0.6   1.7   5  0.0 134
 2021  5 5 1211 33.0  28.827   51.012  11.6   0.8   0.5   1.5   6  0.1 140
 2021  5 5 0107 46.1  28.933   50.751   7.7   0.7   0.9   1.3  12  0.1 306
 2021  5 5 0347  1.5  29.239   51.362   3.3   2.0   2.6   2.6  17  0.1 292
 2021  5 5 1336 22.2  28.823   51.008  12.3   1.1   0.6   1.6   8  0.1 157
 2021  5 5 1734 38.7  29.016   51.301  10.4   0.6   0.9   0.6  22  0.1 244
 2021  5 5 2018 42.2  28.930   51.395   7.3   0.5   0.7   0.8  20  0.1 264
 2021  5 5 0741 32.3  28.989   51.272  11.0   0.7   0.9   0.6  11  0.1 202
 2021  5 5 0130 39.4  28.746   51.329  12.3   0.8   1.4   1.6   5  0.0 237
 2021  5 5 2230 45.3  29.050   51.340   8.1   0.9   1.7   2.0   7  0.1 274
